hour,direct_count,registered_count,total_count,date,hour_of_day,day_of_week,month,is_weekend,conditions,temperature_c,humidity,windspeed_kmh,is_holiday,is_workday
2011-01-02 02:00:00,1,8,9,2011-01-02,2,6,1,1,clouds,11.7,100.0,19.0,0,0
2011-01-02 03:00:00,2,4,6,2011-01-02,3,6,1,1,clouds,13.6,94.0,13.0,0,0
2011-01-02 04:00:00,2,1,3,2011-01-02,4,6,1,1,clouds,13.6,94.0,13.0,0,0
2011-01-02 06:00:00,0,2,2,2011-01-02,6,6,1,1,light_rain,11.7,77.0,20.0,0,0
2011-01-02 07:00:00,0,1,1,2011-01-02,7,6,1,1,clouds,10.8,76.0,13.0,0,0
2011-01-02 08:00:00,0,8,8,2011-01-02,8,6,1,1,light_rain,10.8,71.0,15.0,0,0
2011-01-02 09:00:00,1,19,20,2011-01-02,9,6,1,1,clouds,9.9,76.0,15.0,0,0
2011-01-02 10:00:00,7,46,53,2011-01-02,10,6,1,1,clouds,8.9,81.0,15.0,0,0
2011-01-02 11:00:00,16,54,70,2011-01-02,11,6,1,1,clouds,8.9,71.0,17.0,0,0
2011-01-02 12:00:00,20,73,93,2011-01-02,12,6,1,1,clouds,8.9,66.0,20.0,0,0
2011-01-02 13:00:00,11,64,75,2011-01-02,13,6,1,1,clouds,8.9,66.0,9.0,0,0
2011-01-02 14:00:00,4,55,59,2011-01-02,14,6,1,1,light_rain,8.9,76.0,13.0,0,0
2011-01-02 15:00:00,19,55,74,2011-01-02,15,6,1,1,light_rain,8.0,81.0,11.0,0,0
2011-01-02 16:00:00,9,67,76,2011-01-02,16,6,1,1,light_rain,8.0,71.0,11.0,0,0
2011-01-02 17:00:00,7,58,65,2011-01-02,17,6,1,1,clear,8.0,57.0,13.0,0,0
2011-01-02 18:00:00,10,43,53,2011-01-02,18,6,1,1,clouds,8.9,46.0,22.0,0,0
2011-01-02 19:00:00,1,29,30,2011-01-02,19,6,1,1,clear,7.0,42.0,30.0,0,0
2011-01-02 20:00:00,5,17,22,2011-01-02,20,6,1,1,clear,6.1,39.0,24.0,0,0
2011-01-02 21:00:00,11,20,31,2011-01-02,21,6,1,1,clear,4.2,44.0,22.0,0,0
2011-01-02 22:00:00,0,9,9,2011-01-02,22,6,1,1,clear,3.3,44.0,20.0,0,0
2011-01-02 23:00:00,0,8,8,2011-01-02,23,6,1,1,clear,2.3,47.0,11.0,0,0
2011-01-03 00:00:00,0,5,5,2011-01-03,0,0,1,0,clear,2.3,44.0,24.0,0,1
2011-01-03 01:00:00,0,2,2,2011-01-03,1,0,1,0,clear,1.4,44.0,28.0,0,1
2011-01-03 04:00:00,0,1,1,2011-01-03,4,0,1,0,clear,-0.5,47.0,26.0,0,1
2011-01-03 05:00:00,0,3,3,2011-01-03,5,0,1,0,clear,-0.5,47.0,19.0,0,1
2011-01-03 06:00:00,0,30,30,2011-01-03,6,0,1,0,clear,-1.4,50.0,26.0,0,1
2011-01-03 07:00:00,1,63,64,2011-01-03,7,0,1,0,clear,-1.4,50.0,13.0,0,1
2011-01-03 08:00:00,1,153,154,2011-01-03,8,0,1,0,clear,-1.4,50.0,19.0,0,1
2011-01-03 09:00:00,7,81,88,2011-01-03,9,0,1,0,clear,-0.5,43.0,26.0,0,1
2011-01-03 10:00:00,11,33,44,2011-01-03,10,0,1,0,clear,0.5,43.0,17.0,0,1
2011-01-03 11:00:00,10,41,51,2011-01-03,11,0,1,0,clear,1.4,40.0,22.0,0,1
2011-01-03 12:00:00,13,48,61,2011-01-03,12,0,1,0,clear,2.3,35.0,20.0,0,1
2011-01-03 13:00:00,8,53,61,2011-01-03,13,0,1,0,clear,3.3,35.0,19.0,0,1
2011-01-03 14:00:00,11,66,77,2011-01-03,14,0,1,0,clear,4.2,30.0,19.0,0,1
2011-01-03 15:00:00,14,58,72,2011-01-03,15,0,1,0,clear,4.2,30.0,17.0,0,1
2011-01-03 16:00:00,9,67,76,2011-01-03,16,0,1,0,clear,4.2,30.0,17.0,0,1
2011-01-03 17:00:00,11,146,157,2011-01-03,17,0,1,0,clear,3.3,30.0,15.0,0,1
2011-01-03 18:00:00,9,148,157,2011-01-03,18,0,1,0,clear,3.3,32.0,7.0,0,1
2011-01-03 19:00:00,8,102,110,2011-01-03,19,0,1,0,clear,1.4,47.0,0.0,0,1
2011-01-03 20:00:00,3,49,52,2011-01-03,20,0,1,0,clear,1.4,47.0,7.0,0,1
2011-01-03 21:00:00,3,49,52,2011-01-03,21,0,1,0,clear,0.5,64.0,9.0,0,1
2011-01-03 22:00:00,0,20,20,2011-01-03,22,0,1,0,clear,-1.4,69.0,9.0,0,1
2011-01-03 23:00:00,1,11,12,2011-01-03,23,0,1,0,clear,0.5,55.0,7.0,0,1
2011-01-04 00:00:00,0,5,5,2011-01-04,0,1,1,0,clear,-0.5,55.0,7.0,0,1
2011-01-04 01:00:00,0,2,2,2011-01-04,1,1,1,0,clear,-0.5,59.0,7.0,0,1
2011-01-04 02:00:00,0,1,1,2011-01-04,2,1,1,0,clear,-1.4,63.0,9.0,0,1
2011-01-04 04:00:00,0,2,2,2011-01-04,4,1,1,0,clear,-1.4,63.0,6.0,0,1
2011-01-04 05:00:00,0,4,4,2011-01-04,5,1,1,0,clear,-2.4,68.0,7.0,0,1
2011-01-04 06:00:00,0,36,36,2011-01-04,6,1,1,0,clear,-2.4,74.0,7.0,0,1
2011-01-04 07:00:00,2,92,94,2011-01-04,7,1,1,0,clear,-2.4,74.0,9.0,0,1
2011-01-04 08:00:00,2,177,179,2011-01-04,8,1,1,0,clear,-1.4,69.0,11.0,0,1
2011-01-04 09:00:00,2,98,100,2011-01-04,9,1,1,0,clear,-0.5,64.0,15.0,0,1
2011-01-04 10:00:00,5,37,42,2011-01-04,10,1,1,0,clouds,-0.5,69.0,22.0,0,1
2011-01-04 11:00:00,7,50,57,2011-01-04,11,1,1,0,clear,2.3,51.0,20.0,0,1
2011-01-04 12:00:00,12,66,78,2011-01-04,12,1,1,0,clear,2.3,51.0,11.0,0,1
2011-01-04 13:00:00,18,79,97,2011-01-04,13,1,1,0,clear,3.3,56.0,13.0,0,1
2011-01-04 14:00:00,9,54,63,2011-01-04,14,1,1,0,clear,4.2,52.0,15.0,0,1
2011-01-04 15:00:00,17,48,65,2011-01-04,15,1,1,0,clear,5.2,52.0,17.0,0,1
2011-01-04 16:00:00,15,68,83,2011-01-04,16,1,1,0,clear,6.1,49.0,17.0,0,1
2011-01-04 17:00:00,10,202,212,2011-01-04,17,1,1,0,clear,5.2,48.0,15.0,0,1
2011-01-04 18:00:00,3,179,182,2011-01-04,18,1,1,0,clear,4.2,48.0,13.0,0,1
2011-01-04 19:00:00,2,110,112,2011-01-04,19,1,1,0,clear,3.3,48.0,7.0,0,1
2011-01-04 20:00:00,1,53,54,2011-01-04,20,1,1,0,clear,3.3,48.0,7.0,0,1
2011-01-04 21:00:00,0,48,48,2011-01-04,21,1,1,0,clear,2.3,64.0,0.0,0,1
2011-01-04 22:00:00,1,34,35,2011-01-04,22,1,1,0,clear,2.3,64.0,6.0,0,1
2011-01-04 23:00:00,2,9,11,2011-01-04,23,1,1,0,clear,1.4,69.0,6.0,0,1
2011-01-05 00:00:00,0,6,6,2011-01-05,0,2,1,0,clear,1.4,64.0,0.0,0,1
2011-01-05 01:00:00,0,6,6,2011-01-05,1,2,1,0,clear,-0.5,74.0,6.0,0,1
2011-01-05 02:00:00,0,2,2,2011-01-05,2,2,1,0,clear,-0.5,74.0,6.0,0,1
2011-01-05 04:00:00,0,2,2,2011-01-05,4,2,1,0,clear,3.3,48.0,15.0,0,1
2011-01-05 05:00:00,0,3,3,2011-01-05,5,2,1,0,clear,2.3,47.0,11.0,0,1
2011-01-05 06:00:00,0,33,33,2011-01-05,6,2,1,0,clear,1.4,47.0,15.0,0,1
2011-01-05 07:00:00,1,87,88,2011-01-05,7,2,1,0,clear,0.5,43.0,13.0,0,1
2011-01-05 08:00:00,3,192,195,2011-01-05,8,2,1,0,clear,1.4,40.0,20.0,0,1
2011-01-05 09:00:00,6,109,115,2011-01-05,9,2,1,0,clear,2.3,37.0,22.0,0,1
2011-01-05 10:00:00,4,53,57,2011-01-05,10,2,1,0,clear,2.3,37.0,22.0,0,1
2011-01-05 11:00:00,12,34,46,2011-01-05,11,2,1,0,clear,4.2,33.0,22.0,0,1
2011-01-05 12:00:00,5,74,79,2011-01-05,12,2,1,0,clear,4.2,33.0,22.0,0,1
2011-01-05 13:00:00,6,65,71,2011-01-05,13,2,1,0,clear,5.2,30.0,20.0,0,1
2011-01-05 14:00:00,10,52,62,2011-01-05,14,2,1,0,clear,6.1,28.0,13.0,0,1
2011-01-05 15:00:00,7,55,62,2011-01-05,15,2,1,0,clear,6.1,28.0,13.0,0,1
2011-01-05 16:00:00,4,85,89,2011-01-05,16,2,1,0,clear,6.1,28.0,6.0,0,1
2011-01-05 17:00:00,4,186,190,2011-01-05,17,2,1,0,clear,3.3,38.0,13.0,0,1
2011-01-05 18:00:00,3,166,169,2011-01-05,18,2,1,0,clear,3.3,38.0,9.0,0,1
2011-01-05 19:00:00,5,127,132,2011-01-05,19,2,1,0,clear,3.3,38.0,7.0,0,1
2011-01-05 20:00:00,7,82,89,2011-01-05,20,2,1,0,clear,2.3,47.0,11.0,0,1
2011-01-05 21:00:00,3,40,43,2011-01-05,21,2,1,0,clear,1.4,51.0,13.0,0,1
2011-01-05 22:00:00,1,41,42,2011-01-05,22,2,1,0,clear,0.5,55.0,9.0,0,1
2011-01-05 23:00:00,1,18,19,2011-01-05,23,2,1,0,clear,1.4,47.0,0.0,0,1
2011-01-06 00:00:00,0,11,11,2011-01-06,0,3,1,0,clear,0.5,55.0,0.0,0,1
2011-01-06 01:00:00,0,4,4,2011-01-06,1,3,1,0,clear,-0.5,64.0,0.0,0,1
2011-01-06 02:00:00,0,2,2,2011-01-06,2,3,1,0,clear,-0.5,64.0,0.0,0,1
2011-01-06 04:00:00,0,1,1,2011-01-06,4,3,1,0,clouds,-0.5,64.0,6.0,0,1
2011-01-06 05:00:00,0,4,4,2011-01-06,5,3,1,0,clouds,-1.4,69.0,6.0,0,1
2011-01-06 06:00:00,0,36,36,2011-01-06,6,3,1,0,clouds,-1.4,63.0,7.0,0,1
2011-01-06 07:00:00,0,95,95,2011-01-06,7,3,1,0,clouds,-0.5,59.0,0.0,0,1
2011-01-06 08:00:00,3,216,219,2011-01-06,8,3,1,0,clear,-0.5,59.0,0.0,0,1
2011-01-06 09:00:00,6,116,122,2011-01-06,9,3,1,0,clouds,0.5,51.0,0.0,0,1
2011-01-06 10:00:00,3,42,45,2011-01-06,10,3,1,0,clear,1.4,47.0,0.0,0,1
2011-01-06 11:00:00,2,57,59,2011-01-06,11,3,1,0,clear,2.3,44.0,6.0,0,1
2011-01-06 12:00:00,6,78,84,2011-01-06,12,3,1,0,clear,4.2,35.0,0.0,0,1
2011-01-06 13:00:00,12,55,67,2011-01-06,13,3,1,0,clear,4.2,35.0,7.0,0,1
2011-01-06 14:00:00,11,59,70,2011-01-06,14,3,1,0,clear,5.2,36.0,11.0,0,1
2011-01-06 15:00:00,8,54,62,2011-01-06,15,3,1,0,clear,5.2,36.0,0.0,0,1
2011-01-06 16:00:00,12,74,86,2011-01-06,16,3,1,0,clear,4.2,38.0,11.0,0,1
2011-01-06 17:00:00,9,163,172,2011-01-06,17,3,1,0,clear,2.3,51.0,11.0,0,1
2011-01-06 18:00:00,5,158,163,2011-01-06,18,3,1,0,clear,2.3,51.0,9.0,0,1
2011-01-06 19:00:00,3,109,112,2011-01-06,19,3,1,0,clear,2.3,55.0,6.0,0,1
2011-01-06 20:00:00,3,66,69,2011-01-06,20,3,1,0,clear,1.4,51.0,11.0,0,1
2011-01-06 21:00:00,0,48,48,2011-01-06,21,3,1,0,clouds,2.3,55.0,15.0,0,1
2011-01-06 22:00:00,1,51,52,2011-01-06,22,3,1,0,clouds,2.3,51.0,19.0,0,1
2011-01-06 23:00:00,4,19,23,2011-01-06,23,3,1,0,clouds,1.4,59.0,13.0,0,1
2011-01-07 00:00:00,4,13,17,2011-01-07,0,4,1,0,clouds,1.4,64.0,13.0,0,1
2011-01-07 01:00:00,2,5,7,2011-01-07,1,4,1,0,clouds,1.4,69.0,15.0,0,1
2011-01-07 02:00:00,0,1,1,2011-01-07,2,4,1,0,clouds,1.4,69.0,15.0,0,1
2011-01-07 04:00:00,0,1,1,2011-01-07,4,4,1,0,clouds,1.4,69.0,9.0,0,1
2011-01-07 05:00:00,0,5,5,2011-01-07,5,4,1,0,light_rain,2.3,55.0,0.0,0,1
2011-01-07 06:00:00,8,26,34,2011-01-07,6,4,1,0,clouds,1.4,69.0,0.0,0,1
2011-01-07 07:00:00,8,76,84,2011-01-07,7,4,1,0,clear,1.4,69.0,9.0,0,1
2011-01-07 08:00:00,20,190,210,2011-01-07,8,4,1,0,clear,1.4,51.0,17.0,0,1
2011-01-07 09:00:00,9,125,134,2011-01-07,9,4,1,0,clear,1.4,47.0,20.0,0,1
2011-01-07 10:00:00,16,47,63,2011-01-07,10,4,1,0,clear,2.3,37.0,22.0,0,1
2011-01-07 11:00:00,19,48,67,2011-01-07,11,4,1,0,clouds,1.4,40.0,15.0,0,1
2011-01-07 12:00:00,9,50,59,2011-01-07,12,4,1,0,clouds,1.4,37.0,17.0,0,1
2011-01-07 13:00:00,9,64,73,2011-01-07,13,4,1,0,clouds,1.4,37.0,19.0,0,1
2011-01-07 14:00:00,7,43,50,2011-01-07,14,4,1,0,clouds,1.4,40.0,17.0,0,1
2011-01-07 15:00:00,9,63,72,2011-01-07,15,4,1,0,clouds,1.4,37.0,11.0,0,1
2011-01-07 16:00:00,5,82,87,2011-01-07,16,4,1,0,clouds,1.4,37.0,11.0,0,1
2011-01-07 17:00:00,9,178,187,2011-01-07,17,4,1,0,clouds,1.4,37.0,0.0,0,1
2011-01-07 18:00:00,7,116,123,2011-01-07,18,4,1,0,clear,1.4,40.0,6.0,0,1
2011-01-07 19:00:00,3,92,95,2011-01-07,19,4,1,0,clear,-0.5,55.0,6.0,0,1
2011-01-07 20:00:00,1,50,51,2011-01-07,20,4,1,0,clear,0.5,47.0,7.0,0,1
2011-01-07 21:00:00,0,39,39,2011-01-07,21,4,1,0,clear,0.5,47.0,9.0,0,1
2011-01-07 22:00:00,2,34,36,2011-01-07,22,4,1,0,clouds,0.5,43.0,11.0,0,1
2011-01-07 23:00:00,1,14,15,2011-01-07,23,4,1,0,clouds,0.5,51.0,11.0,0,1
2011-01-08 00:00:00,1,24,25,2011-01-08,0,5,1,1,clouds,0.5,51.0,11.0,0,0
2011-01-08 01:00:00,1,15,16,2011-01-08,1,5,1,1,clouds,0.5,55.0,6.0,0,0
2011-01-08 02:00:00,3,13,16,2011-01-08,2,5,1,1,clouds,0.5,55.0,0.0,0,0
2011-01-08 03:00:00,0,7,7,2011-01-08,3,5,1,1,light_rain,0.5,55.0,11.0,0,0
2011-01-08 04:00:00,0,1,1,2011-01-08,4,5,1,1,light_rain,0.5,55.0,11.0,0,0
2011-01-08 05:00:00,0,5,5,2011-01-08,5,5,1,1,clouds,-0.5,74.0,11.0,0,0
2011-01-08 06:00:00,0,2,2,2011-01-08,6,5,1,1,clouds,-0.5,74.0,11.0,0,0
2011-01-08 07:00:00,1,8,9,2011-01-08,7,5,1,1,clouds,-0.5,74.0,7.0,0,0
2011-01-08 08:00:00,0,15,15,2011-01-08,8,5,1,1,light_rain,-0.5,93.0,7.0,0,0
2011-01-08 09:00:00,0,20,20,2011-01-08,9,5,1,1,light_rain,-0.5,93.0,7.0,0,0
2011-01-08 10:00:00,5,56,61,2011-01-08,10,5,1,1,clouds,0.5,80.0,11.0,0,0
2011-01-08 11:00:00,2,60,62,2011-01-08,11,5,1,1,clouds,1.4,69.0,26.0,0,0
2011-01-08 12:00:00,8,90,98,2011-01-08,12,5,1,1,clouds,1.4,59.0,24.0,0,0
2011-01-08 13:00:00,7,95,102,2011-01-08,13,5,1,1,clear,1.4,44.0,22.0,0,0
2011-01-08 14:00:00,12,83,95,2011-01-08,14,5,1,1,clear,1.4,32.0,33.0,0,0
2011-01-08 15:00:00,5,69,74,2011-01-08,15,5,1,1,clear,1.4,32.0,30.0,0,0
2011-01-08 16:00:00,8,68,76,2011-01-08,16,5,1,1,clear,0.5,29.0,30.0,0,0
2011-01-08 17:00:00,5,64,69,2011-01-08,17,5,1,1,clear,-0.5,37.0,37.0,0,0
2011-01-08 18:00:00,3,52,55,2011-01-08,18,5,1,1,clear,-1.4,39.0,20.0,0,0
2011-01-08 19:00:00,4,26,30,2011-01-08,19,5,1,1,clear,-1.4,36.0,17.0,0,0
2011-01-08 20:00:00,0,28,28,2011-01-08,20,5,1,1,clear,-2.4,36.0,17.0,0,0
2011-01-08 21:00:00,2,35,37,2011-01-08,21,5,1,1,clear,-2.4,39.0,24.0,0,0
2011-01-08 22:00:00,1,33,34,2011-01-08,22,5,1,1,clear,-2.4,36.0,26.0,0,0
2011-01-08 23:00:00,0,22,22,2011-01-08,23,5,1,1,clear,-3.3,39.0,30.0,0,0
2011-01-09 00:00:00,1,24,25,2011-01-09,0,6,1,1,clear,-3.3,42.0,26.0,0,0
2011-01-09 01:00:00,0,12,12,2011-01-09,1,6,1,1,clear,-3.3,42.0,31.0,0,0
2011-01-09 02:00:00,0,11,11,2011-01-09,2,6,1,1,clear,-3.3,46.0,31.0,0,0
2011-01-09 03:00:00,0,4,4,2011-01-09,3,6,1,1,clear,-3.3,46.0,28.0,0,0
2011-01-09 04:00:00,0,1,1,2011-01-09,4,6,1,1,clear,-4.2,53.0,13.0,0,0
2011-01-09 05:00:00,0,1,1,2011-01-09,5,6,1,1,clear,-4.2,53.0,13.0,0,0
2011-01-09 06:00:00,0,1,1,2011-01-09,6,6,1,1,clear,-3.3,49.0,19.0,0,0
2011-01-09 07:00:00,1,5,6,2011-01-09,7,6,1,1,clear,-4.2,53.0,13.0,0,0
2011-01-09 08:00:00,0,10,10,2011-01-09,8,6,1,1,clear,-3.3,49.0,19.0,0,0
2011-01-09 09:00:00,0,19,19,2011-01-09,9,6,1,1,clear,-2.4,46.0,35.0,0,0
2011-01-09 10:00:00,0,49,49,2011-01-09,10,6,1,1,clear,-1.4,43.0,26.0,0,0
2011-01-09 11:00:00,2,47,49,2011-01-09,11,6,1,1,clear,-0.5,40.0,35.0,0,0
2011-01-09 12:00:00,4,79,83,2011-01-09,12,6,1,1,clear,0.5,37.0,30.0,0,0
2011-01-09 13:00:00,6,69,75,2011-01-09,13,6,1,1,clear,1.4,34.0,30.0,0,0
2011-01-09 14:00:00,8,64,72,2011-01-09,14,6,1,1,clear,2.3,32.0,31.0,0,0
2011-01-09 15:00:00,5,77,82,2011-01-09,15,6,1,1,clear,2.3,35.0,24.0,0,0
2011-01-09 16:00:00,13,79,92,2011-01-09,16,6,1,1,clear,1.4,34.0,30.0,0,0
2011-01-09 17:00:00,3,59,62,2011-01-09,17,6,1,1,clear,0.5,37.0,26.0,0,0
2011-01-09 18:00:00,4,44,48,2011-01-09,18,6,1,1,clear,-0.5,40.0,22.0,0,0
2011-01-09 19:00:00,1,40,41,2011-01-09,19,6,1,1,clear,-0.5,43.0,22.0,0,0
2011-01-09 20:00:00,0,38,38,2011-01-09,20,6,1,1,clear,-1.4,46.0,17.0,0,0
2011-01-09 21:00:00,1,19,20,2011-01-09,21,6,1,1,clear,-1.4,46.0,28.0,0,0
2011-01-09 22:00:00,5,10,15,2011-01-09,22,6,1,1,clear,-1.4,46.0,20.0,0,0
2011-01-09 23:00:00,0,6,6,2011-01-09,23,6,1,1,clear,-2.4,50.0,13.0,0,0
2011-01-10 00:00:00,2,3,5,2011-01-10,0,0,1,0,clear,-2.4,50.0,19.0,0,1
2011-01-10 01:00:00,1,0,1,2011-01-10,1,0,1,0,clear,-2.4,50.0,19.0,0,1
2011-01-10 02:00:00,0,3,3,2011-01-10,2,0,1,0,clear,-2.4,50.0,15.0,0,1
2011-01-10 03:00:00,0,1,1,2011-01-10,3,0,1,0,clear,-2.4,50.0,15.0,0,1
2011-01-10 04:00:00,1,2,3,2011-01-10,4,0,1,0,clear,-3.3,54.0,9.0,0,1
2011-01-10 05:00:00,0,3,3,2011-01-10,5,0,1,0,clear,-3.3,54.0,17.0,0,1
2011-01-10 06:00:00,0,31,31,2011-01-10,6,0,1,0,clear,-2.4,50.0,19.0,0,1
2011-01-10 07:00:00,2,75,77,2011-01-10,7,0,1,0,clear,-2.4,50.0,15.0,0,1
2011-01-10 08:00:00,4,184,188,2011-01-10,8,0,1,0,clouds,-2.4,50.0,19.0,0,1
2011-01-10 09:00:00,2,92,94,2011-01-10,9,0,1,0,clouds,-1.4,50.0,17.0,0,1
2011-01-10 10:00:00,0,31,31,2011-01-10,10,0,1,0,clouds,-1.4,50.0,20.0,0,1
2011-01-10 11:00:00,2,28,30,2011-01-10,11,0,1,0,clouds,-0.5,47.0,19.0,0,1
2011-01-10 12:00:00,5,47,52,2011-01-10,12,0,1,0,clouds,1.4,40.0,19.0,0,1
2011-01-10 13:00:00,4,50,54,2011-01-10,13,0,1,0,clouds,1.4,40.0,19.0,0,1
2011-01-10 14:00:00,0,47,47,2011-01-10,14,0,1,0,clouds,1.4,40.0,15.0,0,1
2011-01-10 15:00:00,2,43,45,2011-01-10,15,0,1,0,clouds,1.4,40.0,15.0,0,1
2011-01-10 16:00:00,4,70,74,2011-01-10,16,0,1,0,clear,1.4,40.0,9.0,0,1
2011-01-10 17:00:00,4,174,178,2011-01-10,17,0,1,0,clear,1.4,40.0,7.0,0,1
2011-01-10 18:00:00,1,154,155,2011-01-10,18,0,1,0,clear,1.4,40.0,15.0,0,1
2011-01-10 19:00:00,3,92,95,2011-01-10,19,0,1,0,clear,-0.5,47.0,11.0,0,1
2011-01-10 20:00:00,1,73,74,2011-01-10,20,0,1,0,clear,-0.5,50.0,11.0,0,1
2011-01-10 21:00:00,1,37,38,2011-01-10,21,0,1,0,clear,-1.4,59.0,13.0,0,1
2011-01-10 22:00:00,2,22,24,2011-01-10,22,0,1,0,clear,-1.4,59.0,11.0,0,1
2011-01-10 23:00:00,0,18,18,2011-01-10,23,0,1,0,clear,-1.4,59.0,11.0,0,1
2011-01-11 00:00:00,2,10,12,2011-01-11,0,1,1,0,clear,-1.4,59.0,7.0,0,1
2011-01-11 01:00:00,0,3,3,2011-01-11,1,1,1,0,clear,-1.4,59.0,11.0,0,1
2011-01-11 02:00:00,0,3,3,2011-01-11,2,1,1,0,clouds,-0.5,55.0,13.0,0,1
2011-01-11 05:00:00,0,6,6,2011-01-11,5,1,1,0,clouds,-0.5,55.0,9.0,0,1
2011-01-11 06:00:00,0,27,27,2011-01-11,6,1,1,0,clouds,-0.5,55.0,9.0,0,1
2011-01-11 07:00:00,2,97,99,2011-01-11,7,1,1,0,clouds,-0.5,55.0,0.0,0,1
2011-01-11 08:00:00,3,214,217,2011-01-11,8,1,1,0,clouds,0.5,51.0,6.0,0,1
2011-01-11 09:00:00,3,127,130,2011-01-11,9,1,1,0,clouds,0.5,51.0,11.0,0,1
2011-01-11 10:00:00,3,51,54,2011-01-11,10,1,1,0,clouds,1.4,51.0,11.0,0,1
2011-01-11 11:00:00,4,31,35,2011-01-11,11,1,1,0,clouds,1.4,47.0,9.0,0,1
2011-01-11 12:00:00,2,55,57,2011-01-11,12,1,1,0,clouds,1.4,51.0,7.0,0,1
2011-01-11 13:00:00,6,46,52,2011-01-11,13,1,1,0,clouds,1.4,59.0,6.0,0,1
2011-01-11 14:00:00,3,60,63,2011-01-11,14,1,1,0,clouds,1.4,59.0,6.0,0,1
2011-01-11 15:00:00,2,45,47,2011-01-11,15,1,1,0,clouds,-0.5,80.0,6.0,0,1
2011-01-11 16:00:00,4,72,76,2011-01-11,16,1,1,0,clouds,-0.5,86.0,15.0,0,1
2011-01-11 17:00:00,6,130,136,2011-01-11,17,1,1,0,clouds,-0.5,86.0,15.0,0,1
2011-01-11 18:00:00,1,94,95,2011-01-11,18,1,1,0,light_rain,-0.5,93.0,7.0,0,1
2011-01-11 19:00:00,0,51,51,2011-01-11,19,1,1,0,light_rain,-0.5,93.0,0.0,0,1
2011-01-11 20:00:00,0,32,32,2011-01-11,20,1,1,0,light_rain,-0.5,93.0,13.0,0,1
2011-01-11 21:00:00,0,20,20,2011-01-11,21,1,1,0,light_rain,-0.5,86.0,6.0,0,1
2011-01-11 22:00:00,1,28,29,2011-01-11,22,1,1,0,light_rain,-0.5,93.0,7.0,0,1
2011-01-11 23:00:00,1,18,19,2011-01-11,23,1,1,0,light_rain,-0.5,93.0,6.0,0,1
2011-01-12 00:00:00,0,7,7,2011-01-12,0,2,1,0,clouds,-0.5,86.0,6.0,0,1
2011-01-12 01:00:00,0,6,6,2011-01-12,1,2,1,0,clouds,-0.5,86.0,7.0,0,1
