hour,date,hour_of_day,day_of_week,month,is_weekend,temperature_c,humidity,windspeed_kmh,conditions,registered_count,direct_count,total_count,holiday,is_holiday,is_workday
2011-01-04 23:00:00,2011-01-04,23,1,1,0,1.4,69.0,6.0,clear,9,2,11,,0,1
2011-01-05 00:00:00,2011-01-05,0,2,1,0,1.4,64.0,0.0,clear,6,0,6,,0,1
2011-01-05 01:00:00,2011-01-05,1,2,1,0,-0.5,74.0,6.0,clear,6,0,6,,0,1
2011-01-05 02:00:00,2011-01-05,2,2,1,0,-0.5,74.0,6.0,clear,2,0,2,,0,1
2011-01-05 04:00:00,2011-01-05,4,2,1,0,3.3,48.0,15.0,clear,2,0,2,,0,1
2011-01-05 05:00:00,2011-01-05,5,2,1,0,2.3,47.0,11.0,clear,3,0,3,,0,1
2011-01-05 06:00:00,2011-01-05,6,2,1,0,1.4,47.0,15.0,clear,33,0,33,,0,1
2011-01-05 07:00:00,2011-01-05,7,2,1,0,0.5,43.0,13.0,clear,87,1,88,,0,1
2011-01-05 08:00:00,2011-01-05,8,2,1,0,1.4,40.0,20.0,clear,192,3,195,,0,1
2011-01-05 09:00:00,2011-01-05,9,2,1,0,2.3,37.0,22.0,clear,109,6,115,,0,1
2011-01-05 10:00:00,2011-01-05,10,2,1,0,2.3,37.0,22.0,clear,53,4,57,,0,1
2011-01-05 11:00:00,2011-01-05,11,2,1,0,4.2,33.0,22.0,clear,34,12,46,,0,1
2011-01-05 12:00:00,2011-01-05,12,2,1,0,4.2,33.0,22.0,clear,74,5,79,,0,1
2011-01-05 13:00:00,2011-01-05,13,2,1,0,5.2,30.0,20.0,clear,65,6,71,,0,1
2011-01-05 14:00:00,2011-01-05,14,2,1,0,6.1,28.0,13.0,clear,52,10,62,,0,1
2011-01-05 15:00:00,2011-01-05,15,2,1,0,6.1,28.0,13.0,clear,55,7,62,,0,1
2011-01-05 16:00:00,2011-01-05,16,2,1,0,6.1,28.0,6.0,clear,85,4,89,,0,1
2011-01-05 17:00:00,2011-01-05,17,2,1,0,3.3,38.0,13.0,clear,186,4,190,,0,1
2011-01-05 18:00:00,2011-01-05,18,2,1,0,3.3,38.0,9.0,clear,166,3,169,,0,1
2011-01-05 19:00:00,2011-01-05,19,2,1,0,3.3,38.0,7.0,clear,127,5,132,,0,1
2011-01-05 20:00:00,2011-01-05,20,2,1,0,2.3,47.0,11.0,clear,82,7,89,,0,1
2011-01-05 21:00:00,2011-01-05,21,2,1,0,1.4,51.0,13.0,clear,40,3,43,,0,1
2011-01-05 22:00:00,2011-01-05,22,2,1,0,0.5,55.0,9.0,clear,41,1,42,,0,1
2011-01-05 23:00:00,2011-01-05,23,2,1,0,1.4,47.0,0.0,clear,18,1,19,,0,1
2011-01-06 00:00:00,2011-01-06,0,3,1,0,0.5,55.0,0.0,clear,11,0,11,,0,1
2011-01-06 01:00:00,2011-01-06,1,3,1,0,-0.5,64.0,0.0,clear,4,0,4,,0,1
2011-01-06 02:00:00,2011-01-06,2,3,1,0,-0.5,64.0,0.0,clear,2,0,2,,0,1
2011-01-06 04:00:00,2011-01-06,4,3,1,0,-0.5,64.0,6.0,clouds,1,0,1,,0,1
2011-01-06 05:00:00,2011-01-06,5,3,1,0,-1.4,69.0,6.0,clouds,4,0,4,,0,1
2011-01-06 06:00:00,2011-01-06,6,3,1,0,-1.4,63.0,7.0,clouds,36,0,36,,0,1
2011-01-06 07:00:00,2011-01-06,7,3,1,0,-0.5,59.0,0.0,clouds,95,0,95,,0,1
2011-01-06 08:00:00,2011-01-06,8,3,1,0,-0.5,59.0,0.0,clear,216,3,219,,0,1
2011-01-06 09:00:00,2011-01-06,9,3,1,0,0.5,51.0,0.0,clouds,116,6,122,,0,1
2011-01-06 10:00:00,2011-01-06,10,3,1,0,1.4,47.0,0.0,clear,42,3,45,,0,1
2011-01-06 11:00:00,2011-01-06,11,3,1,0,2.3,44.0,6.0,clear,57,2,59,,0,1
2011-01-06 12:00:00,2011-01-06,12,3,1,0,4.2,35.0,0.0,clear,78,6,84,,0,1
2011-01-06 13:00:00,2011-01-06,13,3,1,0,4.2,35.0,7.0,clear,55,12,67,,0,1
2011-01-06 14:00:00,2011-01-06,14,3,1,0,5.2,36.0,11.0,clear,59,11,70,,0,1
2011-01-06 15:00:00,2011-01-06,15,3,1,0,5.2,36.0,0.0,clear,54,8,62,,0,1
2011-01-06 16:00:00,2011-01-06,16,3,1,0,4.2,38.0,11.0,clear,74,12,86,,0,1
2011-01-06 17:00:00,2011-01-06,17,3,1,0,2.3,51.0,11.0,clear,163,9,172,,0,1
2011-01-06 18:00:00,2011-01-06,18,3,1,0,2.3,51.0,9.0,clear,158,5,163,,0,1
2011-01-06 19:00:00,2011-01-06,19,3,1,0,2.3,55.0,6.0,clear,109,3,112,,0,1
2011-01-06 20:00:00,2011-01-06,20,3,1,0,1.4,51.0,11.0,clear,66,3,69,,0,1
2011-01-06 21:00:00,2011-01-06,21,3,1,0,2.3,55.0,15.0,clouds,48,0,48,,0,1
2011-01-06 22:00:00,2011-01-06,22,3,1,0,2.3,51.0,19.0,clouds,51,1,52,,0,1
2011-01-06 23:00:00,2011-01-06,23,3,1,0,1.4,59.0,13.0,clouds,19,4,23,,0,1
2011-01-07 00:00:00,2011-01-07,0,4,1,0,1.4,64.0,13.0,clouds,13,4,17,,0,1
2011-01-07 01:00:00,2011-01-07,1,4,1,0,1.4,69.0,15.0,clouds,5,2,7,,0,1
2011-01-07 02:00:00,2011-01-07,2,4,1,0,1.4,69.0,15.0,clouds,1,0,1,,0,1
2011-01-07 04:00:00,2011-01-07,4,4,1,0,1.4,69.0,9.0,clouds,1,0,1,,0,1
2011-01-07 05:00:00,2011-01-07,5,4,1,0,2.3,55.0,0.0,light_rain,5,0,5,,0,1
2011-01-07 06:00:00,2011-01-07,6,4,1,0,1.4,69.0,0.0,clouds,26,8,34,,0,1
2011-01-07 07:00:00,2011-01-07,7,4,1,0,1.4,69.0,9.0,clear,76,8,84,,0,1
2011-01-07 08:00:00,2011-01-07,8,4,1,0,1.4,51.0,17.0,clear,190,20,210,,0,1
2011-01-07 09:00:00,2011-01-07,9,4,1,0,1.4,47.0,20.0,clear,125,9,134,,0,1
2011-01-07 10:00:00,2011-01-07,10,4,1,0,2.3,37.0,22.0,clear,47,16,63,,0,1
2011-01-07 11:00:00,2011-01-07,11,4,1,0,1.4,40.0,15.0,clouds,48,19,67,,0,1
2011-01-07 12:00:00,2011-01-07,12,4,1,0,1.4,37.0,17.0,clouds,50,9,59,,0,1
2011-01-07 13:00:00,2011-01-07,13,4,1,0,1.4,37.0,19.0,clouds,64,9,73,,0,1
2011-01-07 14:00:00,2011-01-07,14,4,1,0,1.4,40.0,17.0,clouds,43,7,50,,0,1
2011-01-07 15:00:00,2011-01-07,15,4,1,0,1.4,37.0,11.0,clouds,63,9,72,,0,1
2011-01-07 16:00:00,2011-01-07,16,4,1,0,1.4,37.0,11.0,clouds,82,5,87,,0,1
2011-01-07 17:00:00,2011-01-07,17,4,1,0,1.4,37.0,0.0,clouds,178,9,187,,0,1
2011-01-07 18:00:00,2011-01-07,18,4,1,0,1.4,40.0,6.0,clear,116,7,123,,0,1
2011-01-07 19:00:00,2011-01-07,19,4,1,0,-0.5,55.0,6.0,clear,92,3,95,,0,1
2011-01-07 20:00:00,2011-01-07,20,4,1,0,0.5,47.0,7.0,clear,50,1,51,,0,1
2011-01-07 21:00:00,2011-01-07,21,4,1,0,0.5,47.0,9.0,clear,39,0,39,,0,1
2011-01-07 22:00:00,2011-01-07,22,4,1,0,0.5,43.0,11.0,clouds,34,2,36,,0,1
2011-01-07 23:00:00,2011-01-07,23,4,1,0,0.5,51.0,11.0,clouds,14,1,15,,0,1
2011-01-08 00:00:00,2011-01-08,0,5,1,1,0.5,51.0,11.0,clouds,24,1,25,,0,0
2011-01-08 01:00:00,2011-01-08,1,5,1,1,0.5,55.0,6.0,clouds,15,1,16,,0,0
2011-01-08 02:00:00,2011-01-08,2,5,1,1,0.5,55.0,0.0,clouds,13,3,16,,0,0
2011-01-08 03:00:00,2011-01-08,3,5,1,1,0.5,55.0,11.0,light_rain,7,0,7,,0,0
2011-01-08 04:00:00,2011-01-08,4,5,1,1,0.5,55.0,11.0,light_rain,1,0,1,,0,0
2011-01-08 05:00:00,2011-01-08,5,5,1,1,-0.5,74.0,11.0,clouds,5,0,5,,0,0
2011-01-08 06:00:00,2011-01-08,6,5,1,1,-0.5,74.0,11.0,clouds,2,0,2,,0,0
2011-01-08 07:00:00,2011-01-08,7,5,1,1,-0.5,74.0,7.0,clouds,8,1,9,,0,0
2011-01-08 08:00:00,2011-01-08,8,5,1,1,-0.5,93.0,7.0,light_rain,15,0,15,,0,0
2011-01-08 09:00:00,2011-01-08,9,5,1,1,-0.5,93.0,7.0,light_rain,20,0,20,,0,0
2011-01-08 10:00:00,2011-01-08,10,5,1,1,0.5,80.0,11.0,clouds,56,5,61,,0,0
2011-01-08 11:00:00,2011-01-08,11,5,1,1,1.4,69.0,26.0,clouds,60,2,62,,0,0
2011-01-08 12:00:00,2011-01-08,12,5,1,1,1.4,59.0,24.0,clouds,90,8,98,,0,0
2011-01-08 13:00:00,2011-01-08,13,5,1,1,1.4,44.0,22.0,clear,95,7,102,,0,0
2011-01-08 14:00:00,2011-01-08,14,5,1,1,1.4,32.0,33.0,clear,83,12,95,,0,0
2011-01-08 15:00:00,2011-01-08,15,5,1,1,1.4,32.0,30.0,clear,69,5,74,,0,0
2011-01-08 16:00:00,2011-01-08,16,5,1,1,0.5,29.0,30.0,clear,68,8,76,,0,0
2011-01-08 17:00:00,2011-01-08,17,5,1,1,-0.5,37.0,37.0,clear,64,5,69,,0,0
2011-01-08 18:00:00,2011-01-08,18,5,1,1,-1.4,39.0,20.0,clear,52,3,55,,0,0
2011-01-08 19:00:00,2011-01-08,19,5,1,1,-1.4,36.0,17.0,clear,26,4,30,,0,0
2011-01-08 20:00:00,2011-01-08,20,5,1,1,-2.4,36.0,17.0,clear,28,0,28,,0,0
2011-01-08 21:00:00,2011-01-08,21,5,1,1,-2.4,39.0,24.0,clear,35,2,37,,0,0
2011-01-08 22:00:00,2011-01-08,22,5,1,1,-2.4,36.0,26.0,clear,33,1,34,,0,0
2011-01-08 23:00:00,2011-01-08,23,5,1,1,-3.3,39.0,30.0,clear,22,0,22,,0,0
2011-01-09 00:00:00,2011-01-09,0,6,1,1,-3.3,42.0,26.0,clear,24,1,25,,0,0
2011-01-09 01:00:00,2011-01-09,1,6,1,1,-3.3,42.0,31.0,clear,12,0,12,,0,0
2011-01-09 02:00:00,2011-01-09,2,6,1,1,-3.3,46.0,31.0,clear,11,0,11,,0,0
2011-01-09 03:00:00,2011-01-09,3,6,1,1,-3.3,46.0,28.0,clear,4,0,4,,0,0
2011-01-09 04:00:00,2011-01-09,4,6,1,1,-4.2,53.0,13.0,clear,1,0,1,,0,0
2011-01-09 05:00:00,2011-01-09,5,6,1,1,-4.2,53.0,13.0,clear,1,0,1,,0,0
2011-01-09 06:00:00,2011-01-09,6,6,1,1,-3.3,49.0,19.0,clear,1,0,1,,0,0
2011-01-09 07:00:00,2011-01-09,7,6,1,1,-4.2,53.0,13.0,clear,5,1,6,,0,0
2011-01-09 08:00:00,2011-01-09,8,6,1,1,-3.3,49.0,19.0,clear,10,0,10,,0,0
2011-01-09 09:00:00,2011-01-09,9,6,1,1,-2.4,46.0,35.0,clear,19,0,19,,0,0
2011-01-09 10:00:00,2011-01-09,10,6,1,1,-1.4,43.0,26.0,clear,49,0,49,,0,0
2011-01-09 11:00:00,2011-01-09,11,6,1,1,-0.5,40.0,35.0,clear,47,2,49,,0,0
2011-01-09 12:00:00,2011-01-09,12,6,1,1,0.5,37.0,30.0,clear,79,4,83,,0,0
2011-01-09 13:00:00,2011-01-09,13,6,1,1,1.4,34.0,30.0,clear,69,6,75,,0,0
2011-01-09 14:00:00,2011-01-09,14,6,1,1,2.3,32.0,31.0,clear,64,8,72,,0,0
2011-01-09 15:00:00,2011-01-09,15,6,1,1,2.3,35.0,24.0,clear,77,5,82,,0,0
2011-01-09 16:00:00,2011-01-09,16,6,1,1,1.4,34.0,30.0,clear,79,13,92,,0,0
2011-01-09 17:00:00,2011-01-09,17,6,1,1,0.5,37.0,26.0,clear,59,3,62,,0,0
2011-01-09 18:00:00,2011-01-09,18,6,1,1,-0.5,40.0,22.0,clear,44,4,48,,0,0
2011-01-09 19:00:00,2011-01-09,19,6,1,1,-0.5,43.0,22.0,clear,40,1,41,,0,0
2011-01-09 20:00:00,2011-01-09,20,6,1,1,-1.4,46.0,17.0,clear,38,0,38,,0,0
2011-01-09 21:00:00,2011-01-09,21,6,1,1,-1.4,46.0,28.0,clear,19,1,20,,0,0
2011-01-09 22:00:00,2011-01-09,22,6,1,1,-1.4,46.0,20.0,clear,10,5,15,,0,0
2011-01-09 23:00:00,2011-01-09,23,6,1,1,-2.4,50.0,13.0,clear,6,0,6,,0,0
2011-01-10 00:00:00,2011-01-10,0,0,1,0,-2.4,50.0,19.0,clear,3,2,5,,0,1
2011-01-10 01:00:00,2011-01-10,1,0,1,0,-2.4,50.0,19.0,clear,0,1,1,,0,1
2011-01-10 02:00:00,2011-01-10,2,0,1,0,-2.4,50.0,15.0,clear,3,0,3,,0,1
2011-01-10 03:00:00,2011-01-10,3,0,1,0,-2.4,50.0,15.0,clear,1,0,1,,0,1
2011-01-10 04:00:00,2011-01-10,4,0,1,0,-3.3,54.0,9.0,clear,2,1,3,,0,1
2011-01-10 05:00:00,2011-01-10,5,0,1,0,-3.3,54.0,17.0,clear,3,0,3,,0,1
2011-01-10 06:00:00,2011-01-10,6,0,1,0,-2.4,50.0,19.0,clear,31,0,31,,0,1
2011-01-10 07:00:00,2011-01-10,7,0,1,0,-2.4,50.0,15.0,clear,75,2,77,,0,1
2011-01-10 08:00:00,2011-01-10,8,0,1,0,-2.4,50.0,19.0,clouds,184,4,188,,0,1
2011-01-10 09:00:00,2011-01-10,9,0,1,0,-1.4,50.0,17.0,clouds,92,2,94,,0,1
2011-01-10 10:00:00,2011-01-10,10,0,1,0,-1.4,50.0,20.0,clouds,31,0,31,,0,1
2011-01-10 11:00:00,2011-01-10,11,0,1,0,-0.5,47.0,19.0,clouds,28,2,30,,0,1
2011-01-10 12:00:00,2011-01-10,12,0,1,0,1.4,40.0,19.0,clouds,47,5,52,,0,1
2011-01-10 13:00:00,2011-01-10,13,0,1,0,1.4,40.0,19.0,clouds,50,4,54,,0,1
2011-01-10 14:00:00,2011-01-10,14,0,1,0,1.4,40.0,15.0,clouds,47,0,47,,0,1
2011-01-10 15:00:00,2011-01-10,15,0,1,0,1.4,40.0,15.0,clouds,43,2,45,,0,1
2011-01-10 16:00:00,2011-01-10,16,0,1,0,1.4,40.0,9.0,clear,70,4,74,,0,1
2011-01-10 17:00:00,2011-01-10,17,0,1,0,1.4,40.0,7.0,clear,174,4,178,,0,1
2011-01-10 18:00:00,2011-01-10,18,0,1,0,1.4,40.0,15.0,clear,154,1,155,,0,1
2011-01-10 19:00:00,2011-01-10,19,0,1,0,-0.5,47.0,11.0,clear,92,3,95,,0,1
2011-01-10 20:00:00,2011-01-10,20,0,1,0,-0.5,50.0,11.0,clear,73,1,74,,0,1
2011-01-10 21:00:00,2011-01-10,21,0,1,0,-1.4,59.0,13.0,clear,37,1,38,,0,1
2011-01-10 22:00:00,2011-01-10,22,0,1,0,-1.4,59.0,11.0,clear,22,2,24,,0,1
2011-01-10 23:00:00,2011-01-10,23,0,1,0,-1.4,59.0,11.0,clear,18,0,18,,0,1
2011-01-11 00:00:00,2011-01-11,0,1,1,0,-1.4,59.0,7.0,clear,10,2,12,,0,1
2011-01-11 01:00:00,2011-01-11,1,1,1,0,-1.4,59.0,11.0,clear,3,0,3,,0,1
2011-01-11 02:00:00,2011-01-11,2,1,1,0,-0.5,55.0,13.0,clouds,3,0,3,,0,1
2011-01-11 05:00:00,2011-01-11,5,1,1,0,-0.5,55.0,9.0,clouds,6,0,6,,0,1
2011-01-11 06:00:00,2011-01-11,6,1,1,0,-0.5,55.0,9.0,clouds,27,0,27,,0,1
2011-01-11 07:00:00,2011-01-11,7,1,1,0,-0.5,55.0,0.0,clouds,97,2,99,,0,1
2011-01-11 08:00:00,2011-01-11,8,1,1,0,0.5,51.0,6.0,clouds,214,3,217,,0,1
2011-01-11 09:00:00,2011-01-11,9,1,1,0,0.5,51.0,11.0,clouds,127,3,130,,0,1
2011-01-11 10:00:00,2011-01-11,10,1,1,0,1.4,51.0,11.0,clouds,51,3,54,,0,1
2011-01-11 11:00:00,2011-01-11,11,1,1,0,1.4,47.0,9.0,clouds,31,4,35,,0,1
2011-01-11 12:00:00,2011-01-11,12,1,1,0,1.4,51.0,7.0,clouds,55,2,57,,0,1
2011-01-11 13:00:00,2011-01-11,13,1,1,0,1.4,59.0,6.0,clouds,46,6,52,,0,1
2011-01-11 14:00:00,2011-01-11,14,1,1,0,1.4,59.0,6.0,clouds,60,3,63,,0,1
2011-01-11 15:00:00,2011-01-11,15,1,1,0,-0.5,80.0,6.0,clouds,45,2,47,,0,1
2011-01-11 16:00:00,2011-01-11,16,1,1,0,-0.5,86.0,15.0,clouds,72,4,76,,0,1
2011-01-11 17:00:00,2011-01-11,17,1,1,0,-0.5,86.0,15.0,clouds,130,6,136,,0,1
2011-01-11 18:00:00,2011-01-11,18,1,1,0,-0.5,93.0,7.0,light_rain,94,1,95,,0,1
2011-01-11 19:00:00,2011-01-11,19,1,1,0,-0.5,93.0,0.0,light_rain,51,0,51,,0,1
2011-01-11 20:00:00,2011-01-11,20,1,1,0,-0.5,93.0,13.0,light_rain,32,0,32,,0,1
